# soft core potential 

soft_core_lj 
N 10006  R  0.0001  2.0
  507    0.100200000    4.000000000    0.000000000
  508    0.100400000    4.000000000    0.000000000
  509    0.100600000    4.000000000    0.000000000
  510    0.100800000    4.000000000    0.000000000
  511    0.101000000    4.000000000    0.000000000
  512    0.101200000    4.000000000    0.000000000
  513    0.101400000    4.000000000    0.000000000
  514    0.101600000    4.000000000    0.000000000
  515    0.101800000    4.000000000    0.000000000
  516    0.102000000    4.000000000    0.000000000
  517    0.102200000    4.000000000    0.000000000
  518    0.102400000    4.000000000    0.000000000
  519    0.102600000    4.000000000    0.000000000
  520    0.102800000    4.000000000    0.000000000
  521    0.103000000    4.000000000    0.000000000
  522    0.103200000    4.000000000    0.000000000
  523    0.103400000    4.000000000    0.000000000
  524    0.103600000    4.000000000    0.000000000
  525    0.103800000    4.000000000    0.000000000
  526    0.104000000    4.000000000    0.000000000
  527    0.104200000    4.000000000    0.000000000
  528    0.104400000    4.000000000    0.000000000
  529    0.104600000    4.000000000    0.000000000
  530    0.104800000    4.000000000    0.000000000
  531    0.105000000    4.000000000    0.000000000
  532    0.105200000    4.000000000    0.000000000
  533    0.105400000    4.000000000    0.000000000
  534    0.105600000    4.000000000    0.000000000
  535    0.105800000    4.000000000    0.000000000
  536    0.106000000    4.000000000    0.000000000
  537    0.106200000    4.000000000    0.000000000
  538    0.106400000    4.000000000    0.000000000
  539    0.106600000    4.000000000    0.000000000
  540    0.106800000    4.000000000    0.000000000
  541    0.107000000    4.000000000    0.000000000
  542    0.107200000    4.000000000    0.000000000
  543    0.107400000    4.000000000    0.000000000
  544    0.107600000    4.000000000    0.000000000
  545    0.107800000    4.000000000    0.000000000
  546    0.108000000    4.000000000    0.000000000
  547    0.108200000    4.000000000    0.000000000
  548    0.108400000    4.000000000    0.000000000
  549    0.108600000    4.000000000    0.000000000
  550    0.108800000    4.000000000    0.000000000
  551    0.109000000    4.000000000    0.000000000
  552    0.109200000    4.000000000    0.000000000
  553    0.109400000    4.000000000    0.000000000
  554    0.109600000    4.000000000    0.000000000
  555    0.109800000    4.000000000    0.000000000
  556    0.110000000    4.000000000    0.000000000
  557    0.110200000    4.000000000    0.000000000
  558    0.110400000    4.000000000    0.000000000
  559    0.110600000    4.000000000    0.000000000
  560    0.110800000    4.000000000    0.000000000
  561    0.111000000    4.000000000    0.000000000
  562    0.111200000    4.000000000    0.000000000
  563    0.111400000    4.000000000    0.000000000
  564    0.111600000    4.000000000    0.000000000
  565    0.111800000    4.000000000    0.000000000
  566    0.112000000    4.000000000    0.000000000
  567    0.112200000    4.000000000    0.000000000
  568    0.112400000    4.000000000    0.000000000
  569    0.112600000    4.000000000    0.000000000
  570    0.112800000    4.000000000    0.000000000
  571    0.113000000    4.000000000    0.000000000
  572    0.113200000    4.000000000    0.000000000
  573    0.113400000    4.000000000    0.000000000
  574    0.113600000    4.000000000    0.000000000
  575    0.113800000    4.000000000    0.000000000
  576    0.114000000    4.000000000    0.000000000
  577    0.114200000    4.000000000    0.000000000
  578    0.114400000    4.000000000    0.000000000
  579    0.114600000    4.000000000    0.000000000
  580    0.114800000    4.000000000    0.000000000
  581    0.115000000    4.000000000    0.000000000
  582    0.115200000    4.000000000    0.000000000
  583    0.115400000    4.000000000    0.000000000
  584    0.115600000    4.000000000    0.000000000
  585    0.115800000    4.000000000    0.000000000
  586    0.116000000    4.000000000    0.000000000
  587    0.116200000    4.000000000    0.000000000
  588    0.116400000    4.000000000    0.000000000
  589    0.116600000    4.000000000    0.000000000
  590    0.116800000    4.000000000    0.000000000
  591    0.117000000    4.000000000    0.000000000
  592    0.117200000    4.000000000    0.000000000
  593    0.117400000    4.000000000    0.000000000
  594    0.117600000    4.000000000    0.000000000
  595    0.117800000    4.000000000    0.000000000
  596    0.118000000    4.000000000    0.000000000
  597    0.118200000    4.000000000    0.000000000
  598    0.118400000    4.000000000    0.000000000
  599    0.118600000    4.000000000    0.000000000
  600    0.118800000    4.000000000    0.000000000
  601    0.119000000    4.000000000    0.000000000
  602    0.119200000    4.000000000    0.000000000
  603    0.119400000    4.000000000    0.000000000
  604    0.119600000    4.000000000    0.000000000
  605    0.119800000    4.000000000    0.000000000
  606    0.120000000    4.000000000    0.000000000
  607    0.120200000    4.000000000    0.000000000
  608    0.120400000    4.000000000    0.000000000
  609    0.120600000    4.000000000    0.000000000
  610    0.120800000    4.000000000    0.000000000
  611    0.121000000    4.000000000    0.000000000
  612    0.121200000    4.000000000    0.000000000
  613    0.121400000    4.000000000    0.000000000
  614    0.121600000    4.000000000    0.000000000
  615    0.121800000    4.000000000    0.000000000
  616    0.122000000    4.000000000    0.000000000
  617    0.122200000    4.000000000    0.000000000
  618    0.122400000    4.000000000    0.000000000
  619    0.122600000    4.000000000    0.000000000
  620    0.122800000    4.000000000    0.000000000
  621    0.123000000    4.000000000    0.000000000
  622    0.123200000    4.000000000    0.000000000
  623    0.123400000    4.000000000    0.000000000
  624    0.123600000    4.000000000    0.000000000
  625    0.123800000    4.000000000    0.000000000
  626    0.124000000    4.000000000    0.000000000
  627    0.124200000    4.000000000    0.000000000
  628    0.124400000    4.000000000    0.000000000
  629    0.124600000    4.000000000    0.000000000
  630    0.124800000    4.000000000    0.000000000
  631    0.125000000    4.000000000    0.000000000
  632    0.125200000    4.000000000    0.000000000
  633    0.125400000    4.000000000    0.000000000
  634    0.125600000    4.000000000    0.000000000
  635    0.125800000    4.000000000    0.000000000
  636    0.126000000    4.000000000    0.000000000
  637    0.126200000    4.000000000    0.000000000
  638    0.126400000    4.000000000    0.000000000
  639    0.126600000    4.000000000    0.000000000
  640    0.126800000    4.000000000    0.000000000
  641    0.127000000    4.000000000    0.000000000
  642    0.127200000    4.000000000    0.000000000
  643    0.127400000    4.000000000    0.000000000
  644    0.127600000    4.000000000    0.000000000
  645    0.127800000    4.000000000    0.000000000
  646    0.128000000    4.000000000    0.000000000
  647    0.128200000    4.000000000    0.000000000
  648    0.128400000    4.000000000    0.000000000
  649    0.128600000    4.000000000    0.000000000
  650    0.128800000    4.000000000    0.000000000
  651    0.129000000    4.000000000    0.000000000
  652    0.129200000    4.000000000    0.000000000
  653    0.129400000    4.000000000    0.000000000
  654    0.129600000    4.000000000    0.000000000
  655    0.129800000    4.000000000    0.000000000
  656    0.130000000    4.000000000    0.000000000
  657    0.130200000    4.000000000    0.000000000
  658    0.130400000    4.000000000    0.000000000
